gene_id	concentration
gSpikein_ERCC-00130	3612.0
gSpikein_ERCC-00004	903.0
gSpikein_ERCC-00136	225.75
gSpikein_ERCC-00108	112.875
gSpikein_ERCC-00116	56.438
gSpikein_ERCC-00092	28.219
gSpikein_ERCC-00095	14.109
gSpikein_ERCC-00131	14.109
gSpikein_ERCC-00062	7.055
gSpikein_ERCC-00019	3.527
gSpikein_ERCC-00144	3.527
gSpikein_ERCC-00170	1.764
gSpikein_ERCC-00154	0.882
gSpikein_ERCC-00085	0.882
gSpikein_ERCC-00028	0.441
gSpikein_ERCC-00033	0.22
gSpikein_ERCC-00134	0.22
gSpikein_ERCC-00147	0.11
gSpikein_ERCC-00097	0.055
gSpikein_ERCC-00156	0.055
gSpikein_ERCC-00123	0.028
gSpikein_ERCC-00017	0.014
gSpikein_ERCC-00083	0.003
gSpikein_ERCC-00096	1806.0
gSpikein_ERCC-00171	451.5
gSpikein_ERCC-00009	112.875
gSpikein_ERCC-00042	56.438
gSpikein_ERCC-00060	28.219
gSpikein_ERCC-00035	14.109
gSpikein_ERCC-00025	7.055
gSpikein_ERCC-00051	7.055
gSpikein_ERCC-00053	3.527
gSpikein_ERCC-00148	1.764
gSpikein_ERCC-00126	1.764
gSpikein_ERCC-00034	0.882
gSpikein_ERCC-00150	0.441
gSpikein_ERCC-00067	0.441
gSpikein_ERCC-00031	0.22
gSpikein_ERCC-00109	0.11
gSpikein_ERCC-00073	0.11
gSpikein_ERCC-00158	0.055
gSpikein_ERCC-00104	0.028
gSpikein_ERCC-00142	0.028
gSpikein_ERCC-00138	0.014
gSpikein_ERCC-00117	0.007
gSpikein_ERCC-00075	0.002
gSpikein_ERCC-00074	1806.0
gSpikein_ERCC-00113	451.5
gSpikein_ERCC-00145	112.875
gSpikein_ERCC-00111	56.438
gSpikein_ERCC-00076	28.219
gSpikein_ERCC-00044	14.109
gSpikein_ERCC-00162	7.055
gSpikein_ERCC-00071	7.055
gSpikein_ERCC-00084	3.527
gSpikein_ERCC-00099	1.764
gSpikein_ERCC-00054	1.764
gSpikein_ERCC-00157	0.882
gSpikein_ERCC-00143	0.441
gSpikein_ERCC-00039	0.441
gSpikein_ERCC-00058	0.22
gSpikein_ERCC-00120	0.11
gSpikein_ERCC-00040	0.11
gSpikein_ERCC-00164	0.055
gSpikein_ERCC-00024	0.028
gSpikein_ERCC-00016	0.028
gSpikein_ERCC-00012	0.014
gSpikein_ERCC-00098	0.007
gSpikein_ERCC-00057	0.002
gSpikein_ERCC-00002	1806.0
gSpikein_ERCC-00046	451.5
gSpikein_ERCC-00003	112.875
gSpikein_ERCC-00043	56.438
gSpikein_ERCC-00022	28.219
gSpikein_ERCC-00112	14.109
gSpikein_ERCC-00165	7.055
gSpikein_ERCC-00079	7.055
gSpikein_ERCC-00078	3.527
gSpikein_ERCC-00163	1.764
gSpikein_ERCC-00059	1.764
gSpikein_ERCC-00160	0.882
gSpikein_ERCC-00014	0.441
gSpikein_ERCC-00077	0.441
gSpikein_ERCC-00069	0.22
gSpikein_ERCC-00137	0.11
gSpikein_ERCC-00013	0.11
gSpikein_ERCC-00168	0.055
gSpikein_ERCC-00041	0.028
gSpikein_ERCC-00081	0.028
gSpikein_ERCC-00086	0.014
gSpikein_ERCC-00061	0.007
gSpikein_ERCC-00048	0.002
