gene_id	length	concentration
gSpikein_ERCC-00002	1061	2031.75
gSpikein_ERCC-00003	1023	126.984375
gSpikein_ERCC-00004	523	1015.875
gSpikein_ERCC-00009	984	126.984375
gSpikein_ERCC-00012	994	0.015501022614
gSpikein_ERCC-00013	808	0.124008178203
gSpikein_ERCC-00014	1957	0.496032715521
gSpikein_ERCC-00016	844	0.031002045228
gSpikein_ERCC-00017	1136	0.015501022614
gSpikein_ERCC-00019	644	3.96826171875
gSpikein_ERCC-00022	751	31.74609375
gSpikein_ERCC-00024	536	0.031002045228
gSpikein_ERCC-00025	1994	7.9365234375
gSpikein_ERCC-00028	1130	0.496032715521
gSpikein_ERCC-00031	1138	0.2480163577605
gSpikein_ERCC-00033	2022	0.2480163577605
gSpikein_ERCC-00034	1019	0.9920654296875
gSpikein_ERCC-00035	1130	15.873046875
gSpikein_ERCC-00039	740	0.496032715521
gSpikein_ERCC-00040	744	0.124008178203
gSpikein_ERCC-00041	1122	0.031002045228
gSpikein_ERCC-00042	1023	63.4921875
gSpikein_ERCC-00043	1023	63.4921875
gSpikein_ERCC-00044	1156	15.873046875
gSpikein_ERCC-00046	522	507.9375
gSpikein_ERCC-00048	992	0.001937628504
gSpikein_ERCC-00051	274	7.9365234375
gSpikein_ERCC-00053	1023	3.96826171875
gSpikein_ERCC-00054	274	1.984130859375
gSpikein_ERCC-00057	1021	0.001937628504
gSpikein_ERCC-00058	1136	0.2480163577605
gSpikein_ERCC-00059	525	1.984130859375
gSpikein_ERCC-00060	523	31.74609375
gSpikein_ERCC-00061	1136	0.007750511307
gSpikein_ERCC-00062	1023	7.9365234375
gSpikein_ERCC-00067	644	0.496032715521
gSpikein_ERCC-00069	1137	0.2480163577605
gSpikein_ERCC-00071	642	7.9365234375
gSpikein_ERCC-00073	603	0.124008178203
gSpikein_ERCC-00074	522	2031.75
gSpikein_ERCC-00075	1023	0.001937628504
gSpikein_ERCC-00076	642	31.74609375
gSpikein_ERCC-00077	273	0.496032715521
gSpikein_ERCC-00078	993	3.96826171875
gSpikein_ERCC-00079	644	7.9365234375
gSpikein_ERCC-00081	534	0.031002045228
gSpikein_ERCC-00083	1022	0.0038752556535
gSpikein_ERCC-00084	994	3.96826171875
gSpikein_ERCC-00085	844	0.9920654296875
gSpikein_ERCC-00086	1020	0.015501022614
gSpikein_ERCC-00092	1124	31.74609375
gSpikein_ERCC-00095	521	15.873046875
gSpikein_ERCC-00096	1107	2031.75
gSpikein_ERCC-00097	523	0.0620040891015
gSpikein_ERCC-00098	1143	0.007750511307
gSpikein_ERCC-00099	1350	1.984130859375
gSpikein_ERCC-00104	2022	0.031002045228
gSpikein_ERCC-00108	1022	126.984375
gSpikein_ERCC-00109	536	0.124008178203
gSpikein_ERCC-00111	994	63.4921875
gSpikein_ERCC-00112	1136	15.873046875
gSpikein_ERCC-00113	840	507.9375
gSpikein_ERCC-00116	1991	63.4921875
gSpikein_ERCC-00117	1136	0.007750511307
gSpikein_ERCC-00120	536	0.124008178203
gSpikein_ERCC-00123	1022	0.031002045228
gSpikein_ERCC-00126	1118	1.984130859375
gSpikein_ERCC-00130	1059	4063.5
gSpikein_ERCC-00131	771	15.873046875
gSpikein_ERCC-00134	274	0.2480163577605
gSpikein_ERCC-00136	1033	253.96875
gSpikein_ERCC-00137	537	0.124008178203
gSpikein_ERCC-00138	1024	0.015501022614
gSpikein_ERCC-00142	493	0.031002045228
gSpikein_ERCC-00143	784	0.496032715521
gSpikein_ERCC-00144	538	3.96826171875
gSpikein_ERCC-00145	1042	126.984375
gSpikein_ERCC-00147	1023	0.124008178203
gSpikein_ERCC-00148	494	1.984130859375
gSpikein_ERCC-00150	743	0.496032715521
gSpikein_ERCC-00154	537	0.9920654296875
gSpikein_ERCC-00156	494	0.0620040891015
gSpikein_ERCC-00157	1019	0.9920654296875
gSpikein_ERCC-00158	1027	0.0620040891015
gSpikein_ERCC-00160	743	0.9920654296875
gSpikein_ERCC-00162	523	7.9365234375
gSpikein_ERCC-00163	543	1.984130859375
gSpikein_ERCC-00164	1022	0.0620040891015
gSpikein_ERCC-00165	872	7.9365234375
gSpikein_ERCC-00168	1024	0.0620040891015
gSpikein_ERCC-00170	1023	1.984130859375
gSpikein_ERCC-00171	505	507.9375
