gene_id	length	concentration
gSpikein_ERCC-00002	1061	1806
gSpikein_ERCC-00003	1023	112.875
gSpikein_ERCC-00004	523	903
gSpikein_ERCC-00009	984	112.875
gSpikein_ERCC-00012	994	0.013778686768
gSpikein_ERCC-00013	808	0.110229491736
gSpikein_ERCC-00014	1957	0.440917969352
gSpikein_ERCC-00016	844	0.027557373536
gSpikein_ERCC-00017	1136	0.013778686768
gSpikein_ERCC-00019	644	3.52734375
gSpikein_ERCC-00022	751	28.21875
gSpikein_ERCC-00024	536	0.027557373536
gSpikein_ERCC-00025	1994	7.0546875
gSpikein_ERCC-00028	1130	0.440917969352
gSpikein_ERCC-00031	1138	0.220458984676
gSpikein_ERCC-00033	2022	0.220458984676
gSpikein_ERCC-00034	1019	0.8818359375
gSpikein_ERCC-00035	1130	14.109375
gSpikein_ERCC-00039	740	0.440917969352
gSpikein_ERCC-00040	744	0.110229491736
gSpikein_ERCC-00041	1122	0.027557373536
gSpikein_ERCC-00042	1023	56.4375
gSpikein_ERCC-00043	1023	56.4375
gSpikein_ERCC-00044	1156	14.109375
gSpikein_ERCC-00046	522	451.5
gSpikein_ERCC-00048	992	0.001722336448
gSpikein_ERCC-00051	274	7.0546875
gSpikein_ERCC-00053	1023	3.52734375
gSpikein_ERCC-00054	274	1.763671875
gSpikein_ERCC-00057	1021	0.001722336448
gSpikein_ERCC-00058	1136	0.220458984676
gSpikein_ERCC-00059	525	1.763671875
gSpikein_ERCC-00060	523	28.21875
gSpikein_ERCC-00061	1136	0.006889343384
gSpikein_ERCC-00062	1023	7.0546875
gSpikein_ERCC-00067	644	0.440917969352
gSpikein_ERCC-00069	1137	0.220458984676
gSpikein_ERCC-00071	642	7.0546875
gSpikein_ERCC-00073	603	0.110229491736
gSpikein_ERCC-00074	522	1806
gSpikein_ERCC-00075	1023	0.001722336448
gSpikein_ERCC-00076	642	28.21875
gSpikein_ERCC-00077	273	0.440917969352
gSpikein_ERCC-00078	993	3.52734375
gSpikein_ERCC-00079	644	7.0546875
gSpikein_ERCC-00081	534	0.027557373536
gSpikein_ERCC-00083	1022	0.003444671692
gSpikein_ERCC-00084	994	3.52734375
gSpikein_ERCC-00085	844	0.8818359375
gSpikein_ERCC-00086	1020	0.013778686768
gSpikein_ERCC-00092	1124	28.21875
gSpikein_ERCC-00095	521	14.109375
gSpikein_ERCC-00096	1107	1806
gSpikein_ERCC-00097	523	0.055114745868
gSpikein_ERCC-00098	1143	0.006889343384
gSpikein_ERCC-00099	1350	1.763671875
gSpikein_ERCC-00104	2022	0.027557373536
gSpikein_ERCC-00108	1022	112.875
gSpikein_ERCC-00109	536	0.110229491736
gSpikein_ERCC-00111	994	56.4375
gSpikein_ERCC-00112	1136	14.109375
gSpikein_ERCC-00113	840	451.5
gSpikein_ERCC-00116	1991	56.4375
gSpikein_ERCC-00117	1136	0.006889343384
gSpikein_ERCC-00120	536	0.110229491736
gSpikein_ERCC-00123	1022	0.027557373536
gSpikein_ERCC-00126	1118	1.763671875
gSpikein_ERCC-00130	1059	3612
gSpikein_ERCC-00131	771	14.109375
gSpikein_ERCC-00134	274	0.220458984676
gSpikein_ERCC-00136	1033	225.75
gSpikein_ERCC-00137	537	0.110229491736
gSpikein_ERCC-00138	1024	0.013778686768
gSpikein_ERCC-00142	493	0.027557373536
gSpikein_ERCC-00143	784	0.440917969352
gSpikein_ERCC-00144	538	3.52734375
gSpikein_ERCC-00145	1042	112.875
gSpikein_ERCC-00147	1023	0.110229491736
gSpikein_ERCC-00148	494	1.763671875
gSpikein_ERCC-00150	743	0.440917969352
gSpikein_ERCC-00154	537	0.8818359375
gSpikein_ERCC-00156	494	0.055114745868
gSpikein_ERCC-00157	1019	0.8818359375
gSpikein_ERCC-00158	1027	0.055114745868
gSpikein_ERCC-00160	743	0.8818359375
gSpikein_ERCC-00162	523	7.0546875
gSpikein_ERCC-00163	543	1.763671875
gSpikein_ERCC-00164	1022	0.055114745868
gSpikein_ERCC-00165	872	7.0546875
gSpikein_ERCC-00168	1024	0.055114745868
gSpikein_ERCC-00170	1023	1.763671875
gSpikein_ERCC-00171	505	451.5
